dataset: X
instance: TA5
+-----------+
2D Packing Heuristic in Truck P188383103
Min2DVol: 31.824 [m2]
Stack 0 with items: ['0090038300_14062023011221', '0090038300_14062023007719']
Stack 1 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 2 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 3 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 4 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 5 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 6 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 7 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 8 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 9 with items: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 10 with items: ['0090038300_14062023004654', '0090038300_14062023003378']
Stack 11 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 12 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 13 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 14 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 15 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 16 with items: ['0090038300_14062023003378', '0090038300_14062023003378']
Stacks not packed:
Stack 8 missing: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 9 missing: ['0090038300_14062023004654', '0090038300_14062023004654']
Stack 10 missing: ['0090038300_14062023004654', '0090038300_14062023003378']
Stack 11 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 12 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 13 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 14 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 15 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
Stack 16 missing: ['0090038300_14062023003378', '0090038300_14062023003378']
