dataset: C
instance: CA3
+-----------+
2D Packing Heuristic in Truck P095883801
Min2DVol: 17.4 [m2]
Stack 0 with items: ['0090012500_28022023001784', '0090012500_28022023001784']
Stack 1 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 2 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 3 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 4 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 5 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 6 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 7 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 8 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 9 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 10 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 11 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 12 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 13 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 14 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 15 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 16 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 17 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 18 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 19 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 20 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 21 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 22 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 23 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 24 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 25 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 26 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 27 with items: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 28 with items: ['0090012500_28022023001286']
Stacks not packed:
Stack 18 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 19 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 20 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 21 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 22 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 23 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 24 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 25 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 26 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
Stack 27 missing: ['0090012500_28022023001286', '0090012500_28022023001286']
