dataset: X
instance: SA7
+-----------+
2D Packing Heuristic in Truck P206052003
Min2DVol: 32.06399999999999 [m2]
Stack 0 with items: ['0090017100_14062023029489', '0090017100_14062023029489']
Stack 1 with items: ['0090017100_14062023029489', '0090017100_14062023029489']
Stack 2 with items: ['0090017100_14062023029489', '0090017100_14062023029489']
Stack 3 with items: ['0090017100_14062023029489', '0090017100_14062023029489']
Stack 4 with items: ['0090017100_14062023029489', '0090017100_14062023029489']
Stack 5 with items: ['0090017100_14062023029489', '0090017100_14062023024370']
Stack 6 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 7 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 8 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 9 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 10 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 11 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 12 with items: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 13 with items: ['0090017100_14062023024370', '0090017100_14062023003716']
Stack 14 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 15 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 16 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 17 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 18 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 19 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 20 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 21 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 22 with items: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 23 with items: ['0090017100_14062023003061', '0090017100_14062023003061']
Stacks not packed:
Stack 8 missing: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 9 missing: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 10 missing: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 11 missing: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 12 missing: ['0090017100_14062023024370', '0090017100_14062023024370']
Stack 13 missing: ['0090017100_14062023024370', '0090017100_14062023003716']
Stack 14 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 15 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 16 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 17 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 18 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 19 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 20 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 21 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 22 missing: ['0090017100_14062023003716', '0090017100_14062023003716']
Stack 23 missing: ['0090017100_14062023003061', '0090017100_14062023003061']
